datetimeLocal,pm1,pm25,relativehumidity,temperature,um003
2025-08-01 01:00:00+00:00,5.783333261807759,16.070833206176758,73.4958324432373,24.258333524068195,568.4166666666666
2025-08-01 02:00:00+00:00,6.545833349227905,17.68749984105428,70.91250038146973,24.40000057220459,607.125
2025-08-01 03:00:00+00:00,8.30833343664805,20.39583317438761,69.49999872843425,24.66249990463257,665.2916666666666
2025-08-01 04:00:00+00:00,15.49999992052714,28.625,72.0625,24.20416657129924,944.0833333333334
2025-08-01 05:00:00+00:00,13.733333428700766,26.37500015894572,71.26666641235352,24.49583339691162,852.875
2025-08-01 06:00:00+00:00,14.983333508173624,27.07500028610229,74.03749910990398,24.20833317438761,886.4166666666666
2025-08-01 07:00:00+00:00,20.483333269755047,31.42916663487752,74.9958324432373,23.904166380564373,1087.9166666666667
2025-08-01 08:00:00+00:00,19.983333587646484,31.22083346048991,72.45833333333333,24.525000254313152,1073.25
2025-08-01 09:00:00+00:00,16.65833322207133,28.029167016347248,69.49583435058594,25.162500381469727,982.9583333333334
2025-08-01 10:00:00+00:00,11.704166571299234,24.35833311080933,69.05416679382324,25.19583304723104,797.9583333333334
2025-08-01 11:00:00+00:00,15.508333603541056,27.141666730244957,69.50416692097981,25.170833587646484,899.7083333333334
2025-08-01 12:00:00+00:00,13.574999888737995,24.81249984105428,69.21249961853027,24.89583285649617,848.1666666666666
2025-08-01 13:00:00+00:00,11.59583322207133,24.02083333333333,65.73749987284343,25.666666666666668,813.1666666666666
2025-08-01 14:00:00+00:00,8.75,20.21666669845581,65.99999936421712,25.52083317438761,699.6666666666666
2025-08-01 15:00:00+00:00,10.537499944368998,22.425000190734863,67.03333346048991,25.28333346048991,788.4166666666666
2025-08-01 16:00:00+00:00,20.24166679382324,32.39166641235352,68.61249987284343,24.8083332379659,1063.2083333333333
2025-08-01 17:00:00+00:00,21.87916660308838,34.06666660308838,67.80833371480306,24.662499745686848,1319.5
2025-08-01 18:00:00+00:00,19.78750006357829,30.379166920979817,67.55416742960612,24.720833619435627,1053.2083333333333
2025-08-01 19:00:00+00:00,20.3083332379659,30.8125,68.73333358764648,24.56250031789144,1076.0416666666667
2025-08-01 20:00:00+00:00,18.5041667620341,28.45416657129924,70.91250038146973,24.041666348775227,952.5416666666666
2025-08-01 21:00:00+00:00,18.550000349680584,29.18333355585734,72.56666564941406,23.68333371480306,1012.75
2025-08-01 22:00:00+00:00,21.06666660308838,32.01250012715658,73.64583333333333,23.60000006357829,1114.625
2025-08-01 23:00:00+00:00,19.770833492279053,31.091667016347248,71.25416692097981,24.09999990463257,1069.0
2025-08-02 00:00:00+00:00,26.218181783502757,41.99090922962535,71.14545440673828,24.209090839732777,1639.1363636363635
2025-08-02 01:00:00+00:00,18.995833317438763,30.987500031789143,70.35416666666667,24.45833317438761,1022.8333333333334
2025-08-02 02:00:00+00:00,11.170833269755043,23.875,69.26666577657063,24.64166641235352,769.4583333333334
2025-08-02 03:00:00+00:00,10.583333333333334,23.541666666666668,68.83749961853027,24.841666380564373,768.5416666666666
2025-08-02 04:00:00+00:00,10.512499888737995,23.71250009536743,69.6708329518636,24.49583339691162,779.2083333333334
2025-08-02 05:00:00+00:00,23.979166666666668,39.32916641235352,70.46666717529297,24.149999618530277,1445.4166666666667
2025-08-02 06:00:00+00:00,26.404166380564373,41.11666711171468,70.51666641235352,24.28333314259847,1714.3333333333333
2025-08-02 07:00:00+00:00,38.52500025431315,59.262499491373696,68.39583269755046,24.983333269755047,2999.4166666666665
2025-08-02 08:00:00+00:00,26.287499745686848,40.07916641235352,66.00416692097981,25.558333079020183,1621.0833333333333
2025-08-02 09:00:00+00:00,19.629166920979817,29.65833330154419,62.37083307902018,26.34583346048991,1025.2916666666667
2025-08-02 10:00:00+00:00,17.483333508173626,27.83333333333333,60.89999993642172,26.545833428700764,949.2916666666666
2025-08-02 11:00:00+00:00,14.84166661898295,26.204166730244957,55.137499491373696,27.90833330154419,877.125
2025-08-02 12:00:00+00:00,12.895833333333334,24.399999777475998,52.691665967305504,28.483333428700764,815.5
2025-08-02 13:00:00+00:00,13.399999936421713,25.016666889190677,49.90833346048991,29.38333336512248,860.875
2025-08-02 14:00:00+00:00,17.74583347638448,28.083333492279053,47.64999961853027,30.39999993642171,996.5
2025-08-02 15:00:00+00:00,16.795833269755047,27.516666730244957,49.15416653951009,30.03333314259847,955.9166666666666
2025-08-02 16:00:00+00:00,22.0583332379659,34.162500063578285,56.99166679382324,27.82500028610229,1220.2916666666667
2025-08-02 17:00:00+00:00,21.89166641235352,34.08333365122477,62.96666717529297,26.15833346048991,1208.7916666666667
2025-08-02 18:00:00+00:00,20.479166348775227,31.416666825612385,64.69583320617676,25.504166920979817,1115.75
2025-08-02 19:00:00+00:00,21.45000012715657,32.87500031789144,67.7916653951009,24.791666984558105,1181.25
2025-08-02 20:00:00+00:00,18.916666666666668,29.0583332379659,70.60833358764648,24.041667143503823,1007.0416666666666
2025-08-02 21:00:00+00:00,15.516666571299234,26.86666679382324,72.03333282470703,23.83749993642171,885.125
2025-08-02 22:00:00+00:00,21.47500006357829,33.72083330154419,71.42083358764648,24.00416660308838,1223.3333333333333
2025-08-02 23:00:00+00:00,30.12500015894572,46.15000025431315,72.10833358764648,23.9333332379659,1994.875
2025-08-03 00:00:00+00:00,24.93333355585734,40.583333333333336,70.72500165303548,24.32083336512248,1652.5
2025-08-03 01:00:00+00:00,22.69166660308838,36.18333371480306,68.17083358764648,25.07083336512248,1361.9166666666667
